,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotations
225,54.1016,-165.9532,8.2568,1599896901,253,8,-999,0.3484,V,"volcanic (type a), one subnet only — Akutan"
226,53.91,-166.3458,30,1599899758,254,4,0.37,-1,-,"earthquake — distant, poor location (sand point)"
228,54.4158,-165.7495,90.9228,1599901032,256,7,1.09,0.297,V,"volcanic (type a), one subnet only — Akutan"
229,53.9237,-166.8538,19.9126,1599908807,258,7,0.39,1.138,-,earthquake
231,53.8336,-166.8764,0.4803,1599924600,260,5,-999,1.2396,-,earthquake — distant or deep 
232,51.8814,-177.0945,0.0425,1599926032,261,17,2.18,7.3596,D,Duplicate of matched evid #262
235,52.9394,-167.5151,22.2425,1599943393,264,7,-999,0.1229,-,earthquake
238,53.954,-165.9784,0.2308,1599958692,267,17,0.76,4.028,-,earthquake
239,53.1835,-166.4185,48.0396,1599973480,268,7,-999,0.3401,-,earthquake (small)
242,52.077,-177.0666,0.2806,1599988769,272,10,1.37,2.4249,-,earthquake
245,53.9415,-166.0603,0,1600006826,275,15,0.98,4.9745,-,earthquake (poor location)
246,52.0432,-174.738,42.1341,1600010230,276,6,-999,0.3012,-,earthquake — distant or deep
247,51.7607,-174.667,35.8523,1600010237,277,6,2.01,0.2579,D,Duplicate of evid #267 (S-only location)
248,54.1256,-165.8173,50,1600017494,278,10,0.48,-1,-,earthquake — distant or deep
249,54.0895,-165.7145,40,1600017504,279,7,0.57,-1,D,Duplicate of evid #278 (S-only location)
250,52.1813,-175.762,25.294,1600023833,280,4,-999,0.2611,n,volcanic at Kanaga combined with very tiny earthquake events on great sitkin
251,53.531,-167.0631,2.2591,1600029512,281,7,-999,2.7377,-,earthquake
252,52.3484,-174.0255,15.3871,1600029740,282,7,0.81,0.9577,V,"volcanic (type a), one subnet only — Korovin"
253,52.3314,-173.9798,12.4893,1600029709,283,6,-999,0.5698,V,"volcanic (type a), one subnet only — Korovin"
255,51.74,-177.1271,0.3053,1600031619,286,14,-999,2.8933,-,earthquake
258,51.3748,-176.1133,29.2565,1600041520,289,6,-999,0.0921,-,earthquake
