,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotated
1459,61.4263,-149.7478,0.1372,1543657360,4260,9,2.7,0.7619,D,Duplicate of MATCHED evid #4257
1461,61.4018,-150.1006,35.1134,1543657011,4262,6,1.78,0.5929,-,earthquake — missing P/S detections where there is overlap from preceeding event
1464,61.3837,-149.511,38.8311,1543657365,4265,13,2.66,0.8909,D,Duplicate of MATCHED evid #4257
1468,61.3784,-150.129,34.4256,1543657567,4280,7,-999,0.3704,-,earthquake — missing many clear detections
1484,61.4276,-150.1221,0.2171,1543658339,4329,8,-999,0.5427,-,earthquake — possibly two small events combined into a single event
1488,61.3717,-150.0456,13.941,1543657936,4301,16,1.71,0.7256,-,earthquake
1493,61.4771,-150.1101,8.3736,1543658783,4344,23,2.32,1.0411,-,"earthquake — intertwined signals, poor location, phases not all in the correct locations"
1503,61.436,-150.106,20.422,1543659433,4380,7,-999,0.5708,-,"earthquake — very small, burried in coda of larger event"
1510,61.4972,-150.2997,99.9672,1543659366,4376,8,1.77,1.4503,-,earthquake — only one P-arrival in location
1523,61.4407,-150.0023,67.4102,1543660614,4441,8,-999,0.0847,-,earthquake
1525,61.3545,-150.0739,0.0346,1543660055,4422,10,2.48,0.8386,D,Duplicate of MATCHED evid #4409
1534,61.4923,-149.917,0.0211,1543660395,4479,7,1.99,0.942,D,Duplicate of MATCHED evid #4430
1537,61.3698,-150.0595,16.265,1543661074,4477,65,2.45,0.6644,-,earthquake
1552,61.185,-149.9277,23.636,1543661796,4541,22,1.73,0.9595,D,Duplicate with MATCHED evid #4537
1554,61.3498,-150.1447,30.3418,1543661892,4545,7,-999,1.0358,-,"earthquake — noisey/messy signal, small, in coda "
1557,61.4186,-150.0864,35.1529,1543662162,4551,21,1.66,0.837,-,earthquake
1559,61.5397,-149.8756,35.1533,1543662245,4559,12,-999,0.8672,-,earthquake — small in coda of preceeding event
1565,61.5159,-149.9421,34.0776,1543662004,4572,5,1.8,0.3675,-,earthquake — second in quick succession + missing overlapping P/S-detections
1574,61.4686,-149.962,34.9353,1543662873,4603,5,2.3,0.2765,-,earthquake — P-only location 
1593,61.4737,-149.9262,33.7482,1543664255,4656,17,1.94,0.5364,-,earthquake
1594,61.3923,-150.0867,10.9956,1543664035,4660,7,2.05,0.8198,-,"earthquake — middle of three, missing many clear detections"
1600,61.4219,-150.0495,34.7676,1543664378,4671,11,1.9,0.4855,-,earthquake — missing many clear detections
1609,61.2281,-149.6667,77.0603,1543664926,4694,7,-999,0.3351,-,"earthquake — first station EGAK, poor location (lots of unpromoted detections)"
1611,61.4421,-150.0951,35.8422,1543665087,4699,10,1.42,0.459,-,earthquake
1629,61.3916,-150.1004,13.6272,1543666112,4750,48,2.66,0.7576,-,earthquake
1631,61.313,-149.9055,0.3886,1543666057,4748,10,2.43,0.7896,D,Duplicate of MATCHED evid #4744
1635,61.5466,-149.8734,59.5626,1543666648,4770,8,-999,1.0204,-,"earthquake — very very small, not much larger than background"
1637,61.4255,-150.3745,35.4962,1543666501,4759,15,2,0.8455,-,earthquake
1642,61.1918,-149.9218,41.5179,1543666828,4782,9,1.39,0.7675,-,earthquake — missing many clear detections
1646,61.5088,-149.9059,33.1323,1543667242,4797,11,1.88,0.5041,-,earthquake — in coda of preceeding event
1654,61.2677,-149.9837,13.7618,1543667079,4789,35,2.33,0.6059,D,Duplicate of MATCHED evid #4802 (however this is the better solution)
1657,61.1588,-150.1658,99.9111,1543667954,4830,6,1.48,1.0889,D,Duplicate of MATCHED evid #4834
1668,61.4187,-150.0589,25.8883,1543668244,4844,8,1.82,0.3411,D,Duplicate of MATCHED evid #4848
1671,61.4034,-150.2479,35.7507,1543668622,4862,8,2.06,0.9995,-,earthquake — missing many clear detections
1674,61.3854,-150.1106,27.6413,1543668794,4869,6,1.76,0.1896,-,earthquake — missing many clear detections
1679,61.4999,-149.904,38.1222,1543669173,4881,12,2.57,0.7546,-,earthquake
1683,61.2478,-150.0851,40.6695,1543669487,4891,10,2.62,0.6975,-,earthquake — missing detections from overlapping P/S phases
1695,61.3759,-150.1067,32.9741,1543670096,4929,11,-999,0.9533,-,earthquake — missing detections from overlapping P/S phases
1698,61.3851,-149.9178,65.3334,1543670200,4935,14,1.67,0.9083,-,earthquake
1703,61.3376,-150.0281,41.1623,1543670643,4953,6,1.46,0.1009,D,Duplicate of MATCHED evid #4968 (however this is the better solution)
1704,61.3434,-150.0454,0,1543669964,4954,16,2.58,0.5195,D,Duplicate of MATCHED evid #4919
1731,61.1821,-150.3099,5.2348,1543672173,5022,12,2.04,0.9505,D,Duplicate of MATCHED evid #5025
1737,61.4661,-149.8523,35.7815,1543671995,5015,10,-999,0.923,-,earthquake — missing clear (pickable) detections
1743,61.5486,-149.6933,26.3345,1543672844,5056,8,1.59,0.8377,-,"earthquake — overlapping signals, missing P/S-detections from overlap"
1744,61.2581,-150.1615,5.9227,1543672391,5059,9,4.26,0.7264,D,Duplicate of MATCHED evid #5069
1751,61.434,-150.0571,42.3747,1543673122,5080,7,-999,0.3683,-,earthquake — very small & in coda
1762,61.4064,-149.9293,0.161,1543673090,5106,10,2.18,1.2668,D,Duplicate of MATCHED evid #5077
1764,61.4162,-150.0998,34.4162,1543673863,5109,15,1.49,0.5399,-,earthquake
1765,61.5011,-149.951,35.0017,1543673923,5110,11,-999,0.5144,-,earthquake
1769,61.3987,-150.1137,36.5544,1543674171,5118,25,1.93,0.6629,-,earthquake
1772,61.4495,-149.883,59.1403,1543674392,5127,4,-999,0.0142,-,"earthquake — small, several unpromoted detections"
1784,61.4409,-149.6367,6.5226,1543675169,5152,9,2.18,0.7836,D,Duplicate of MATCHED evid #5155
1787,61.5687,-150.011,100,1543675324,5162,4,1.52,1.1782,-,"earthquake — super messy, possinly two smaller events combined into one"
1789,61.524,-149.9178,35.3667,1543675227,5160,9,1.79,0.6689,D,Duplicate of MATCHED evid #5188
1797,61.4244,-149.2183,26.8149,1543675933,5192,7,1.56,1.0519,-,earthquake — missing many clear detections
1807,61.3602,-150.0511,24.5002,1543676345,5205,10,1.66,0.4788,-,earthquake — missing many clear detections
1812,61.384,-150.1208,39.2718,1543676440,5220,12,-999,0.5277,D,Duplicate of MATCHED evid #5240
1817,61.3256,-150.0629,34.7929,1543676823,5238,12,1.49,0.6105,D,Duplicate of MATCHED evid #5230
1825,61.3685,-150.1129,34.9815,1543676578,5227,9,-999,0.3723,-,earthquake
1834,61.5533,-150.3929,52.7282,1543677495,5278,7,2.15,0.6891,D,Duplicate of MATCHED evid #5278
1844,61.5286,-149.9377,42.0195,1543677950,5302,10,1.59,0.6671,-,earthquake
1848,61.4043,-150.0468,35.3987,1543678329,5331,13,1.73,0.4995,-,earthquake — missing many clear detections
1852,61.4787,-149.932,99.9857,1543678532,5342,6,-999,0.4275,D,Duplicate of evid #5340
1853,61.4904,-149.9571,99.9998,1543678534,5340,14,1.66,1.611,-,"earthquake — missing clear detections, iincluding first station"
1855,61.4499,-149.903,100,1543678793,5349,4,-999,0.0762,D,Duplicate of evid #5353
1857,61.5109,-149.8537,21.5958,1543678799,5353,11,-999,0.9414,-,earthquake — small
1865,61.3856,-150.1128,33.2224,1543679373,5386,14,2,0.5843,-,earthquake
1866,61.5639,-150.1541,35.1897,1543679457,5389,8,1.61,0.6428,-,earthquake — missing many clear detections
1868,61.4997,-149.9814,35.3814,1543679624,5392,6,-999,0.3143,n,"looks like impulsive noise, possibly tiny earthquake"
1871,61.4498,-149.9,32.2372,1543679686,5397,13,1.61,0.4337,-,earthquake — missing many clear detections
1877,61.5671,-150.3354,27.7697,1543680023,5418,12,-999,0.5758,D,Duplicate of MATCHED evid #5413 or 5432
1892,61.4572,-149.8957,36.221,1543680691,5473,10,1.51,0.5172,D,Duplicate of MATCHED evid #5458 or 5467
1894,61.4325,-149.9138,33.7581,1543680996,5479,9,-999,0.4149,-,earthquake — noisy
1896,61.4222,-150.0725,35.1607,1543681151,5486,12,-999,0.3021,-,earthquake
1907,61.0437,-149.6303,18.415,1543681726,5518,13,2.36,1.5992,n,"""infilled' earthquake, inserted between two overlapping events using incorrect labeled phases"
1913,61.3274,-150.1964,44.7488,1543682115,5535,8,1.26,0.6386,-,earthquake
1921,61.4867,-149.9342,35.921,1543682999,5580,14,1.62,0.7003,-,earthquake — missing some clear detections
1922,61.2691,-149.9677,39.4353,1543683045,5584,15,1.6,0.5057,D,Duplicate of MATCHED evid #5611
1923,61.5265,-149.9822,49.4356,1543683206,5591,4,-999,0.0497,-,earthquake — missing many clear detections
1926,61.51,-149.9164,0.0705,1543682687,5595,33,3.13,0.6631,D,Duplicate of MATCHED evid #5564
1927,61.5014,-149.914,43.9698,1543683028,5586,8,-999,0.4627,-,earthquake
1928,61.3111,-149.9173,25.1516,1543683322,5598,6,-999,0.3752,-,earthquake — missing many clear detections
1935,61.3217,-149.2022,97.2976,1543683448,5612,4,-999,0.7632,D,Duplicate of MATCHED evid #5615
1943,61.3881,-150.12,0.0932,1543684022,5625,8,1.39,1.321,-,earthquake — missing many clear detections
1951,61.0642,-149.8028,13.3436,1543684330,5644,8,2.45,2.5616,D,Duplicate of MATCHED evid #5631
1953,61.483,-149.9172,34.6228,1543684659,5646,23,1.79,0.8124,-,earthquake
1959,61.5174,-149.9214,18.8205,1543685039,5669,13,-999,0.8661,-,"earthquake — messy signal, in coda of larger event"
1961,61.4592,-150.0887,35.2696,1543685076,5668,18,1.62,0.5261,-,earthquake — mising clear detections
1963,61.4944,-149.7831,30.6983,1543685137,5672,12,1.8,1.5025,-,"earthquake — messy, in coda"
1971,61.5488,-149.8799,4.1221,1543685373,5678,10,2.01,0.9019,D,Duplicate of MATCHED evid #5679
