,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotations
201,59.8109,-141.1161,19.292,1663534466,1179,18,1.61,1.3501,-,earthquake
202,60.9199,-143.1132,0.3349,1663542702,1181,5,-999,0.9581,-,earthquake (tiny)
203,60.3676,-139.8337,7.4028,1663549158,1182,12,1.25,1.0981,-,earthquake
204,60.4844,-141.4011,20,1663549856,1183,10,-999,-1,-,earthquake
205,60.2457,-141.0755,20.0513,1663554380,1184,4,0.52,0.2684,lf_G,low frequency glacial event
206,60.431,-143.4419,0.0408,1663556098,1185,10,0.84,0.6683,lf_G,low frequency glacial event
207,60.4152,-142.6286,34.643,1663571800,1186,6,1.66,1.3534,-,earthquake (small)
208,60.9102,-141.6758,40,1663576088,1187,7,1.19,-1,-,"regional earthquake, P-only location"
209,61.0785,-143.4898,31.8913,1663580536,1188,12,1.41,1.0116,-,"regional earthquake, P-only location (one S-arrival)"
210,60.6264,-142.9377,3.6855,1663584685,1189,7,-999,0.4587,-,earthquake
211,60.3185,-143.3919,0,1663598490,1190,12,0.86,0.8,-,earthquake (small)
212,60.3864,-142.9401,1.3773,1663602595,1191,12,-999,0.4854,-,earthquake
213,60.186,-141.3287,0.2695,1663602640,1193,10,0.5,1.0191,hf_G,high frequency glacial event
215,60.6447,-143.3163,32.2011,1663610967,1195,6,0.93,0.8314,hf_G,high frequency glacial event
217,59.9489,-142.3964,29.7141,1663617880,1197,7,2.52,0.8794,D,duplicate of MATCHED evid #1196
218,61.2297,-143.6331,30.9878,1663617915,1198,4,2.36,0.054,D,duplicate of MATCHED evid #1196
219,60.7451,-144.3796,3.009,1663617926,1199,6,1.81,0.7723,D,duplicate of MACTEHD evid #1196
220,60.9615,-143.8645,99.9536,1663622344,1200,10,1.4,4.8134,-,"earthquake (poor location, deep 100k)"
222,60.6562,-143.2586,29.8576,1663634310,1204,4,-999,0.1118,n,impulsive noise
223,60.1802,-141.5351,12.2949,1663642662,1205,10,-999,0.7228,-,earthquake (high noise)
224,60.4331,-143.2644,19.1122,1663658636,1207,12,1.02,0.2079,-,earthquake
226,60.2675,-141.9138,19.8936,1663666326,1209,6,-999,0.4131,-,earthquake
228,60.5089,-143.0291,17.9853,1663698579,1211,7,1.16,0.4119,-,earthquake
234,60.6744,-144.8256,10.5417,1663733009,1218,5,-999,1.5426,n,"""phantom event"" on regional signal — Pn/Pg phase arrivals (also a duplicate of MATCHED evid #1217, which is a poor location of regional event with S-phases)"
