,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotation
430,60.5527,-143.6471,24.7302,1666286542,1032,15,1.9,0.7317,D,duplicate of evid #1031
431,60.6403,-143.5513,92.638,1666344639,1033,4,1.9,1.2678,n,combined impulsive noise
433,61.1049,-143.4689,30.6877,1666364136,1035,10,2.01,0.8519,-,regional earthquake (P-only location)
434,60.4129,-144.8985,15,1666364136,1036,4,1.51,-1,D,duplicate of evid #1035
438,60.6569,-143.4173,35.943,1666409712,1040,6,-999,0.3828,-,regional earthquake (poor solution)
440,61.1443,-144.5078,180,1666416500,1042,4,-999,-1,nT,teleseismic signal
441,60.7259,-144.633,16.6866,1666436016,1043,19,1.98,0.5933,n,"""phantom event"" on regional signal — Pn/Pg phase arrivals"
442,60.5156,-141.8023,40,1666462542,1044,4,-999,-1,-,earthquake (small)
444,60.614,-144.9551,32.4772,1666482521,1046,12,1.83,0.5253,-,regional earthquake (P-only location)
445,59.6449,-142.4865,0,1666483510,1048,4,1.87,0.1821,nT,teleseismic signal
446,61.1084,-144.743,25,1666494995,1049,4,-999,-1,-,regional earthquake (P-only location)
447,60.4763,-144.6765,8.7094,1666499493,1050,16,1.47,1.4939,-,earthquake
448,60.7097,-144.5194,100,1666523348,1051,20,2.28,1.4811,nT,teleseismic signal
449,60.126,-144.3424,10.1471,1666531543,1052,5,-999,0.2634,nT,teleseismic signal
450,59.7799,-142.8316,0,1666543044,1053,4,1.98,0.4093,lf_G,low-frequency Glacial-quake
451,60.6987,-144.5597,100,1666556308,1054,9,1.97,0.9516,nT,teleseismic signal
452,60.6877,-142.7793,41.1203,1666556321,1055,7,1.24,0.8711,D,duplicate of evid #1054
454,60.8676,-144.0183,100,1666577911,1057,11,1.99,1.9182,nT,teleseismic signal
455,60.9772,-140.9304,7.0087,1666592264,1058,8,1.76,0.675,-,earthquake (P-only location)
456,60.1632,-143.4609,100,1666598568,1059,18,2.52,2.0215,nT,teleseismic signal
457,60.9317,-144.9917,17.7771,1666610891,1060,4,-999,0.285,-,earthquake (P-only location)
458,60.2695,-144.5485,99.8433,1666631104,1061,5,2.06,1.0212,nT,teleseismic signal
459,59.7177,-143.2563,0,1666634169,1062,6,2.42,0.9118,-,earthquake (smal)
461,60.617,-142.4154,43.9304,1666657945,1064,11,1.99,0.5553,nT,teleseismic signal
462,60.4419,-138.5311,29.4787,1666657938,1065,4,2.54,0.6048,D,duplicate of evid #1064
463,60.5156,-141.8023,40,1666704779,1066,6,1.37,-1,nT,teleseismic signal
464,60.7012,-144.3247,100,1666710640,1067,22,2.71,1.8666,nT,teleseismic signal
466,60.8934,-144.7949,21.5634,1666724789,1069,11,1.61,0.9254,-,earthquake (P-only location)
468,60.7685,-144.9712,96.1366,1666742886,1071,4,1.71,0.792,n,combined impulsive noise — possibly decaying teleseismic
475,61.1609,-144.8638,37.4048,1666761986,1079,16,2.35,0.7482,-,regional earthquake (P-only location)
476,60.6023,-144.6487,29.0421,1666776788,1080,10,2.43,0.8086,-,regional earthquake (P-only location)
478,60.5679,-141.1924,57.4128,1666835569,1083,4,1.11,0.2119,nT,teleseismic signal
479,60.3868,-144.4947,21.4869,1666859740,1084,9,-999,0.4877,-,regional earthquake (P-only location)
480,61.1059,-144.6977,100,1666865873,1085,8,2.31,1.1814,nT,teleseismic signal
483,60.998,-144.5607,15,1666966764,1088,4,-999,-1,-,earthquake (P-only location)
484,61.1907,-141.1919,3.1768,1666984933,1089,15,2.21,0.9466,-,earthquake
485,60.3863,-141.2484,9.0045,1666999131,1090,5,-999,0.3042,lf_G,low-frequency Glacial-quake
487,60.9698,-142.4899,30,1667082892,1092,4,-999,-1,-,earthquake (P-only location)
488,60.6993,-140.4965,0.0393,1667094038,1093,17,2.76,0.811,-,earthquake (P-only location)
489,60.8155,-143.3713,18.6598,1667136920,1094,4,-999,0.2471,-,regional earthquake (P-only location)
491,61.129,-144.964,8.184,1667148524,1096,14,2.67,0.7993,-,earthquake (P-only location)
