,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotations
844,66.2489,-157.1984,9.287,1551091777,3252,6,-999,0.1825,-,earthquake (small)
853,65.9912,-157.5251,69.9856,1551117932,3262,5,-999,1.2529,nT,regional event with phantom earthquake on split P-arrivals
855,66.2444,-157.1968,10.4026,1551121720,3264,8,-999,0.2533,-,earthquake
857,66.2296,-157.4599,0.0541,1551126036,3267,7,-999,0.4453,-,"earthquake (small, low SNR)"
858,66.22,-157.2034,0.4915,1551128690,3268,8,-999,0.6023,-,"earthquake (smaller, low SNR, and several unpromoted phase arrivals)"
860,66.2796,-157.1878,12.3573,1551130029,3270,7,-999,0.185,-,"earthquake (small, low SNR)"
862,66.2162,-157.1991,10,1551134979,3274,7,-999,-1,-,earthquake
863,66.3024,-157.1837,8.7001,1551145581,3275,10,-999,0.6439,-,earthquake
868,66.2529,-157.2312,11.9124,1551154780,3281,12,-999,0.854,-,earthquake
871,66.3137,-157.2172,9.1731,1551155273,3285,7,-999,0.7353,-,"earthquake — missing many clear, impulsive phase arrivals as near source stations"
874,66.2753,-157.2288,11.3537,1551155654,3289,11,-999,1.0549,-,earthquake
879,66.2525,-157.2163,11.441,1551156312,3295,7,-999,0.3827,-,earthquake
881,66.2788,-157.1759,11.182,1551156613,3297,10,-999,0.4589,-,earthquake
884,66.2429,-157.2462,11.6335,1551157204,3301,7,-999,0.1564,-,earthquake
885,66.3076,-157.1968,5.4156,1551157984,3304,7,-999,0.101,-,earthquake
886,66.2265,-157.1734,10.5763,1551158177,3305,8,-999,0.2121,-,earthquake (noisey)
888,66.3226,-157.219,0.0076,1551158392,3307,6,-999,0.6098,-,earthquake
891,66.305,-157.1871,9.5906,1551160020,3311,9,-999,0.3078,-,earthquake
893,66.3269,-157.2008,8.0378,1551161419,3314,7,-999,0.5479,-,earthquake
894,66.2378,-157.2313,12.461,1551162307,3315,9,-999,0.4577,-,earthquake
896,66.2646,-157.257,10.5889,1551163461,3317,6,-999,0.8094,-,earthquake
897,66.302,-157.1823,4.7076,1551164001,3318,10,-999,0.7846,-,"earthquake — missing many, clear, impulsive, phase detections"
