,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotations
522,66.6202,-157.9748,15.014,1550460721,1715,7,1.5,0.4771,D,same as MATCHED evid #1716
598,66.3168,-157.2168,10.7804,1550677053,1808,13,1.5,0.635,-,earthquake
683,66.3006,-157.1425,8.8824,1550926232,1912,14,1.5,0.7203,-,earthquake
770,66.2989,-157.1695,9.7562,1551207938,2024,11,1.5,0.7837,-,earthquake (directly proceeds similiar undetected/unlocated event)
179,66.1622,-158.3123,5.1235,1549752282,1265,13,1.51,0.6864,-,earthquake
300,66.2958,-157.2067,9.494,1549901272,1438,11,1.51,0.7212,-,earthquake
461,66.309,-157.2171,10.1264,1550278523,1645,14,1.51,0.6104,-,earthquake
406,66.0134,-158.7179,13.8934,1550203123,1571,8,1.53,0.7559,nT,teleseismic signal
453,66.273,-157.2326,8.4282,1550272785,1631,8,1.53,1.3858,-,earthquake
716,66.3234,-157.2152,10.6957,1551080121,1950,13,1.53,0.627,-,earthquake
243,66.3159,-157.2214,3.9735,1549822721,1353,10,1.54,0.8123,-,"earthquake, proceeds larger event"
277,66.3099,-157.2107,0.0077,1549853365,1409,16,1.54,0.6166,-,earthquake
31,66.3617,-157.4852,17.0564,1549163728,1093,8,1.55,0.8799,nT,teleseismic
462,66.3102,-157.217,0.0684,1550278640,1646,12,1.55,0.4158,-,earthquake
703,65.9248,-158.2531,14.7336,1550989159,1934,5,1.55,0.0081,n,possibly decaying regional event (or teleseismic event)
283,66.3159,-157.2194,5,1549865225,1416,12,1.56,-1,-,earthquake
313,66.2618,-157.2368,11.9282,1549941836,1459,11,1.56,0.9722,-,earthquake (proceeds larger event)
325,66.3067,-157.2136,10.6098,1549970621,1474,9,1.57,0.8426,-,earthquake
200,66.3124,-157.2148,1.9513,1549806453,1289,17,1.58,0.8095,-,earthquake
579,66.358,-158.735,9.0239,1550622174,1787,4,1.6,0.1953,nT,telesismic signal
129,65.8192,-159.3201,29.3076,1549534504,1207,5,1.61,1.0354,D,same teleseismic signal as evid #1204
298,66.1675,-158.2697,9.8802,1549898252,1436,17,1.61,0.4831,-,earthquake
768,66.323,-157.2123,9.3199,1551202951,2022,12,1.61,0.5582,-,earthquake
777,66.3173,-157.211,7.8283,1551223149,2032,11,1.62,0.4214,-,earthquake
96,66.436,-159.489,38.1611,1549395759,1168,8,1.64,1.1042,nT,teleseismic signal
352,66.4212,-158.4724,33.5996,1550039949,1508,6,1.64,1.0213,D,same as MATCHED evid #1506 (regoinal earthquake)
174,66.027,-158.7512,12.0069,1549725312,1260,7,1.65,0.8113,nT,mostlikely a diluted part of telesismic signal (or regional event)
303,66.1638,-158.2767,13.0724,1549907265,1442,11,1.65,0.7281,-,earthquake
476,66.5062,-158.0178,36.554,1550311892,1662,5,1.66,1.2779,n,"probably regioanl ""teleseismic"" signal and/or repreat teleseismic signal"
323,66.5571,-158.2566,37.1771,1549969530,1472,4,1.67,0.7252,n,"impulsive, long-period noise"
214,66.1051,-156.3878,17.4315,1549809409,1310,8,1.71,0.8025,-,"earthquake (mostly P's, very poor location)"
186,66.3083,-157.1753,9.0914,1549765452,1273,13,1.72,0.8156,-,earthquake
438,66.3243,-157.419,36.4028,1550254532,1609,5,1.78,0.4547,D,duplicate of MATCHED evid #1608
59,65.9586,-158.369,24.207,1549291518,1126,6,1.82,0.8845,D,"More regional event, duplicated with MATCHED evid #1125, 1124, or 1123"
785,66.7236,-157.3253,15.0269,1551233488,2042,4,1.83,0.0329,n,"real, very small earthquake (G19K only) compined with low-frequency, impulsive noise"
655,66.2791,-157.2239,9.196,1550835208,1879,13,1.84,1.1339,-,earthquake
420,65.9596,-158.9689,8.8827,1550229623,1588,5,1.85,0.2917,-,earthquake (in coda of larger event)
426,66.1782,-158.6475,48.332,1550238751,1595,4,1.86,0.6194,n,small earthquake (G19K only) combined with teleseismic signal of evid #1594
68,66.3531,-157.5141,1.4934,1549303084,1135,9,1.89,0.9809,nT,teleseismic
73,66.4339,-158.7732,33.6486,1549309388,1140,4,1.89,0.0108,D,same as MATCHED evid #1139
652,66.0734,-159.1276,38.6581,1550832781,1876,7,2.03,0.9498,nT,telesismic signal
730,66.2974,-157.2139,0.0372,1551129583,1966,14,2.05,0.5629,-,earthquake (only one S-phase)
128,65.9555,-159.1153,58.891,1549534498,1204,8,2.06,0.9709,nT,teleseismic 
266,66.291,-157.199,1.6626,1549838892,1394,20,2.07,0.615,-,earthquake
425,65.9473,-158.869,23.6553,1550238741,1594,9,2.09,0.9585,nT,teleseismic signal
93,66.5681,-158.8736,36.8624,1549385882,1164,9,2.44,0.8529,nT,teleseismic signal
331,65.8459,-159.0889,6.0271,1549975688,1482,5,2.51,0.4956,D,same as MATCHED evid #1481 (P-only location)
501,66.2678,-158.7206,31.8898,1550414823,1690,4,2.95,0.4306,nT,teleseismic signal
10,66.2701,-157.1915,26.5704,1549038275,1068,8,3,0.6609,nT,teleseismic
230,66.3109,-157.2112,0.2553,1549817789,1333,12,3.04,0.2984,-,small earthquake directly proceeding larger event (larger event appears to be missed)
231,66.2033,-157.6103,32.3183,1549817809,1335,4,3.05,0.6424,D,same event as evid #1333
649,66.7337,-158.0711,27.2546,1550831382,1872,7,3.28,0.6685,D,same as MATCHED evid #1871
